"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"12pF","desc","C27,C24,","C_0402_1005Metric","libref","2","2","","",
"10uF","desc","C30,C21,C13,C4,C2,","C_0402_1005Metric","libref","2","5","","",
"4.7uF","desc","C31,C29,C28,","C_0402_1005Metric","libref","2","3","","",
"1uF","desc","C32,C26,","C_0402_1005Metric","libref","2","2","","",
"0.1uF","desc","C33,C23,C15,C12,C10,C8,C7,C6,","C_0402_1005Metric","libref","2","8","","",
"LED","desc","D1,","LED_0603_1608Metric","libref","2","1","","",
"PWR","desc","D2,","LED_0603_1608Metric","libref","2","1","","",
"NGFF_67P_M_KEY_Plug","desc","J1,","NGFF_2230_67P_P0.5_M_KEY_Plug","libref","67","1","","",
"2.2uH","desc","L3,L2,L1,","L_1008_2520Metric","libref","2","3","","",
"200K","desc","R14,","R_0402_1005Metric","libref","2","1","","",
"0R","desc","R15,R11,R10,","R_0402_1005Metric","libref","2","3","","",
"10K","desc","R18,R13,R12,","R_0402_1005Metric","libref","2","3","","",
"680K","desc","R5,","R_0402_1005Metric","libref","2","1","","",
"470K","desc","R6,","R_0402_1005Metric","libref","2","1","","",
"150K","desc","R7,R3,R2,R1,","R_0402_1005Metric","libref","2","4","","",
"LINL","desc","TP2,","TestPoint_Pad_D1.0mm","libref","1","1","","",
"24MHz","desc","Y1,","Crystal_SMD_3225-4Pin_3.2x2.5mm","libref","4","1","","",
"0.1uF","desc","C19,C18,C17,C14,C11,C9,","C_0402_1005Metric","libref","2","6","","",
"10uF","desc","C22,C20,C16,C5,C3,C1,","C_0402_1005Metric","libref","2","6","","",
"1uF","desc","C34,C25,","C_0402_1005Metric","libref","2","2","","",
"0R","desc","R17,R16,","R_0402_1005Metric","libref","2","2","","",
"10K","desc","R4,","R_0402_1005Metric","libref","2","1","","",
"2K","desc","R9,R8,","R_0402_1005Metric","libref","2","2","","",
"W25Q128JVS","desc","U1,","WSON-8_8x6mm","libref","10","1","","",
"XC6206PxxxMR","desc","U4,","SOT-23","libref","3","1","","",
"Through Hole Items ",
"FEL","desc","SW1,","Key_Push_3.5x5x1.5_Side_4P","libref","6","1","","",
"FEL","desc","SW2,","Key_Push_2x4x3.5_Side_4P","libref","8","1","","",
"EA3036","desc","U2,","QFN-20_EP_3x3_Pitch0.4mm_ThermalVias","libref","29","1","","",
"F1C200s","desc","U3,","QFN-88_EP_10x10_Pitch0.4mm_Handsoldering","libref","97","1","","",
