"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C10","C_0402_1005Metric","-11.176mm","-21.4884mm","-11.176mm","-21.4884mm","-11.661mm","-21.4884mm","T","0","0.1uF",
"C12","C_0402_1005Metric","-14.732mm","-18.9484mm","-14.732mm","-18.9484mm","-14.732mm","-18.4634mm","T","270","0.1uF",
"C13","C_0402_1005Metric","-10.668mm","-18.9484mm","-10.668mm","-18.9484mm","-10.668mm","-18.4634mm","T","270","10uF",
"C15","C_0402_1005Metric","-11.176mm","-20.4724mm","-11.176mm","-20.4724mm","-11.661mm","-20.4724mm","T","0","0.1uF",
"C2","C_0402_1005Metric","2.032mm","-16.7894mm","2.032mm","-16.7894mm","1.547mm","-16.7894mm","T","0","10uF",
"C21","C_0402_1005Metric","0.127mm","-17.8054mm","0.127mm","-17.8054mm","-0.358mm","-17.8054mm","T","0","10uF",
"C23","C_0402_1005Metric","0.127mm","-16.7894mm","0.127mm","-16.7894mm","-0.358mm","-16.7894mm","T","0","0.1uF",
"C24","C_0402_1005Metric","-17.145mm","-7.3914mm","-17.145mm","-7.3914mm","-17.145mm","-7.8764mm","T","90","12pF",
"C26","C_0402_1005Metric","-6.477mm","-18.9484mm","-6.477mm","-18.9484mm","-6.477mm","-18.4634mm","T","270","1uF",
"C27","C_0402_1005Metric","-17.145mm","-13.7414mm","-17.145mm","-13.7414mm","-17.145mm","-14.2264mm","T","90","12pF",
"C28","C_0402_1005Metric","-5.334mm","-18.9484mm","-5.334mm","-18.9484mm","-5.334mm","-18.4634mm","T","270","4.7uF",
"C29","C_0402_1005Metric","-9.144mm","-19.4564mm","-9.144mm","-19.4564mm","-8.659mm","-19.4564mm","T","180","4.7uF",
"C30","C_0402_1005Metric","-7.62mm","-18.9484mm","-7.62mm","-18.9484mm","-7.62mm","-18.4634mm","T","270","10uF",
"C31","C_0402_1005Metric","-9.144mm","-18.4404mm","-9.144mm","-18.4404mm","-8.659mm","-18.4404mm","T","180","4.7uF",
"C32","C_0402_1005Metric","-3.302mm","-18.9484mm","-3.302mm","-18.9484mm","-3.302mm","-18.4634mm","T","270","1uF",
"C33","C_0402_1005Metric","-1.397mm","-17.3414mm","-1.397mm","-17.3414mm","-1.397mm","-16.8564mm","T","270","0.1uF",
"C4","C_0402_1005Metric","-13.7305mm","-20.8974mm","-13.7305mm","-20.8974mm","-13.7305mm","-20.4124mm","T","270","10uF",
"C6","C_0402_1005Metric","-7.62mm","-22.1674mm","-7.62mm","-22.1674mm","-7.62mm","-22.6524mm","T","90","0.1uF",
"C7","C_0402_1005Metric","2.032mm","-17.8054mm","2.032mm","-17.8054mm","2.517mm","-17.8054mm","T","180","0.1uF",
"C8","C_0402_1005Metric","-13.716mm","-18.9484mm","-13.716mm","-18.9484mm","-13.716mm","-18.4634mm","T","270","0.1uF",
"D1","LED_0603_1608Metric","-16.764mm","-17.0434mm","-16.764mm","-17.0434mm","-16.764mm","-16.2559mm","T","270","LED",
"D2","LED_0603_1608Metric","-2.032mm","-29.1084mm","-2.032mm","-29.1084mm","-1.2445mm","-29.1084mm","T","180","PWR",
"J1","NGFF_2230_67P_P0.5_M_KEY_Plug","-7.112mm","-1.2954mm","-7.112mm","-1.2954mm","-16.362mm","-1.2954mm","T","0","NGFF_67P_M_KEY_Plug",
"L1","L_1008_2520Metric","-5.588mm","-21.8694mm","-5.588mm","-21.8694mm","-5.588mm","-22.9444mm","T","90","2.2uH",
"L2","L_1008_2520Metric","1.524mm","-19.8374mm","1.524mm","-19.8374mm","2.599mm","-19.8374mm","T","180","2.2uH",
